Timestamp,Jitter,Latency,Download Bandwidth,Upload Bandwidth,Download Throughput,Upload Throughput,Packet Loss
2022-03-06 20:46:42+00:00,6.72,53.245,10999280,7234279,0.07311489094802634,0.05344068047140731,0.0
2022-03-06 21:24:40+00:00,0.104,63.863,36903865,1900554,0.22474789098659348,0.01449977028671815,0.0
2022-03-06 21:48:27+00:00,0.102,46.531,34473285,3740101,0.22945765311302482,0.028132542801231324,0.0
2022-03-06 22:24:43+00:00,0.072,42.572,34951144,4059156,0.21581455638522434,0.029947846782417346,0.0
2022-03-06 22:44:36+00:00,1.992,40.08,35644491,1729765,0.2333195275297929,0.012819886930576615,0.0
2022-03-06 23:24:54+00:00,0.043,39.917,22521841,1726891,0.13799221984167806,0.012837048805026282,0.33444816053511706
2022-03-07 00:24:44+00:00,1.741,39.91,29574053,2154152,0.1956769096868026,0.015790661872114194,1.6666666666666667
2022-03-07 00:39:33+00:00,3.864,36.178,15342136,2868607,0.07663344268941225,0.018183653499005983,4.0
2022-03-07 01:24:53+00:00,0.061,39.911,37564015,2374444,0.25951424405365164,0.016926811422195074,0.0
2022-03-07 01:39:02+00:00,4.01,39.89,34125509,3314471,0.21474996427210366,0.024522844475386874,0.0
2022-03-07 02:25:25+00:00,4.744,37.243,18889160,3409818,0.1262961487461486,0.02490542572888202,0.0
2022-03-07 02:40:08+00:00,0.121,55.909,34096217,3148200,0.23087563815990214,0.0218790836852689,0.0
2022-03-07 03:25:39+00:00,0.11,37.092,25029362,3445546,0.16412453741213645,0.025923530754780474,0.0
2022-03-07 03:52:07+00:00,0.073,39.941,41474404,1973648,0.26968749593098956,0.014963945725419635,0.3401360544217687
2022-03-07 04:24:51+00:00,5.057,39.885,11483865,1874344,0.08255966695907353,0.01359172334121864,0.0
2022-03-07 04:39:09+00:00,2.443,55.95,47641739,3064047,0.28846512867287405,0.022800492582628108,0.0
2022-03-07 05:24:39+00:00,0.141,31.83,26607553,3205474,0.1732831569993888,0.024001966270650623,0.0
2022-03-07 05:39:41+00:00,0.096,39.878,27680046,2565184,0.16298104612619285,0.01925042539809911,0.6993006993006993
2022-03-07 06:24:41+00:00,0.151,37.133,30050158,1633853,0.19475387859089263,0.012326417561783628,0.8928571428571429
2022-03-07 06:44:35+00:00,2.084,47.904,23884873,4662811,0.13195355343392803,0.028403610362832284,0.0
2022-03-07 07:24:59+00:00,0.16,31.844,20132753,1293631,0.11114955120040906,0.009420866106815112,0.0
2022-03-07 07:46:21+00:00,0.071,39.932,42018844,2766378,0.30212577251001915,0.020898463175364795,0.0
2022-03-07 08:24:54+00:00,0.069,46.587,10420153,2837041,0.07773785327138985,0.020976658860590705,0.0
2022-03-07 08:41:47+00:00,0.05,47.951,17262981,1990893,0.12086607750794372,0.012145544403481066,3.1818181818181817
2022-03-07 09:24:41+00:00,1.11,43.907,42812809,4089398,0.2858893840216412,0.030836329884060865,0.0
2022-03-07 09:46:12+00:00,0.159,39.833,15789280,3355531,0.09797762807752532,0.024272212698272785,0.0
2022-03-07 10:24:55+00:00,0.11,31.875,12090578,4082300,0.08517833023371359,0.02892008830248231,0.0
2022-03-07 10:50:02+00:00,0.228,55.817,26091301,2244774,0.1771879814842085,0.01666681819400148,0.0
2022-03-07 11:24:37+00:00,0.064,39.94,37663214,1246374,0.23899109594632173,0.009580303586249695,0.0
2022-03-07 11:46:47+00:00,0.123,55.917,11193575,2877699,0.0796246141107947,0.020883693340230547,0.0
2022-03-07 12:24:48+00:00,5.996,31.935,22974626,6757804,0.14428704430553704,0.037479890089690396,0.0
2022-03-07 12:40:55+00:00,0.119,31.821,36226872,3716942,0.21947315539567858,0.02802769096457011,0.0
